Name,Symbol,CNMMN/CNMNC approved formula (unless marked in blue),IMA Status,Kretz (1998),Siivolam & Schmid (2007),Whitney & Evans (2010),Can. Min. (2019),Warr (2020),Symbol rule (1-4),Notes,new/adopted symbol,,blue formula taken from publlished literature,,
Amphibole,Amp,"AX2Z5((Si,Al,Ti)8O22)(OH,F,Cl,O)2 A = ☐, Na, K, Ca, Pb2+, X = Li, Na, Mg, Fe2+, Mn2+, Ca, Z = Li, Na, Mg, Fe2+, Mn2+, Zn, Co, Ni, Al, Fe3+, Cr3+, Mn3+, V3+, Ti, Zr (2)",GROUP,,Am,Amp,Amp,,1,, adopted symbol,,,,
Amstallite,Ams,"CaAl[(Al,Si)4O8(OH)2](OH)2·(H2O,Cl)",A,,,,,,1,,new symbol,,,,
Analcime,Anl,Na(AlSi2O6)·H2O,A,Anl,Anl,Anl,Anl,,2,, adopted symbol,,,,
Anandite,Ana,BaFe2+3(Si3Fe3+)O10S(OH),A,,,,,Ana,1,, adopted symbol,,,,
Anapaite,Anp,Ca2Fe2+(PO4)2·4H2O,G,,,,Ana,,2,,new symbol,,,,
Anastasenkoite,Aas,CaFe2+P2O7,A,,,,,,2,,new symbol,,,,
Anatase,Ant,TiO2,A,Ant,Ant,Ant,Ant,Ant,2,, adopted symbol,,,,
Anatolyite ,Aly,"Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6",A,,,,,,2,,new symbol,,,,
Ancylite-(Ce),Anc-Ce,CeSr(CO3)2(OH)·H2O,Rn,,,,,,1,,new symbol,,,,
Ancylite-(La),Anc-La,LaSr(CO3)2(OH)·H2O,A,,,,,,1,,new symbol,,,,
Andalusite,And,Al2SiO5,G,And,And,And,And,,1,, adopted symbol,,,,
Andersonite,Anr,Na2Ca(UO2)(CO3)3·5-6H2O,G,,,,,,2,,new symbol,,,,
Andorite IV,Ado IV,AgPbSb3S6,G,,,,Ado,,2,, adopted symbol,,,,
Andorite VI,Ado VI,AgPbSb3S6,G,,,,Ado,,2,, adopted symbol,,,,
Andradite,Adr,Ca3Fe3+2(SiO4)3,G,Adr,Adr,Adr,Adr,,2,, adopted symbol,,,,
Andreadiniite,Adi,CuHgAg7Pb7Sb24S48,A,,,,,,2,,new symbol,,,,
Andrémeyerite,Amy,BaFe2+2(Si2O7),Rn,,,,,,3,,new symbol,,,,
Andreyivanovite,Aiv,FeCrP,A,,,,,,2,,new symbol,,,,
Andrianovite,Adv,"Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5",A,,,,,,3,,new symbol,,,,
Anduoite,Adu,RuAs2,A,,,,,,2,,new symbol,,,,
Andychristyite,Acs,PbCu2+Te6+O5(H2O),A,,,,,,2,,new symbol,,,,
Andymcdonaldite,Amc,Fe2TeO6,A,,,,,,2,,new symbol,,,,
Andyrobertsite,Arb,KCdCu5(AsO4)4[As(OH)2O2]·2H2O,A,,,,,,4,Rb = robertsite,new symbol,,,,
Angarfite,Agf,NaFe3+5(PO4)4(OH)4·4H2O,A,,,,,,3,,new symbol,,,,
Angastonite,Ags,CaMgAl2(PO4)2(OH)4·7H2O,A,,,,,,3,,new symbol,,,,
Ángelaite,Áge,Cu2AgPbBiS4,Rn,,,,,,2,,new symbol,,,,
Angelellite,Agl,Fe3+4O3(AsO4)2,A,,,,Ang,,3,,new symbol,,,,
Anglesite,Ang,Pb(SO4),G,,,Ang,Agl,,1,, adopted symbol,,,,
Anhydrite,Anh,Ca(SO4),G,Anh,Anh,Anh,Anh,,1,, adopted symbol,,,,
Anhydrokainite,Ahk,KMg(SO4)Cl,Q,,,,,,3,,new symbol,,,,
Anilite,Ani,Cu7S4,A,,,,Ani,,1,, adopted symbol,,,,
Ankerite,Ank,"Ca(Fe2+,Mg)(CO3)2",G,Ank,Ank,Ank,Ank,Ank,1,, adopted symbol,,,,
Ankinovichite,Akv,NiAl4(V5+O3)2(OH)12·2H2O,A,,,,,,3,,new symbol,,,,
Annabergite,Anb,Ni3(AsO4)2·8H2O,G,,,,,,2,,new symbol,,,,
Annite,Ann,KFe2+3(AlSi3O10)(OH)2,A,Ann,Ann,Ann,Ann,Ann,1,, adopted symbol,,,,
Anorpiment,Apm,As2S3,A,,,,,,3,,new symbol,,,,
Anorthite,An,Ca(Al2Si2O8),G,An,An,An,An,An,1,, adopted symbol,,,,
Anorthoclase,Ano,"(Na,K)AlSi3O8 (3)",I,,,Ano,Anr,,1,, adopted symbol,,,,
Anorthominasragrite,Amrg,V4+O(SO4)·5H2O,A,,,,,,4,Mrg = minasragrite,new symbol,,,,
Ansermetite,Anm,Mn2+V5+2O6·4H2O,A,,,,,,2,,new symbol,,,,
Antarcticite,Atc,CaCl2·6H2O,A,,,,,,2,,new symbol,,,,
Anthoinite,Atn,AlWO3(OH)3,G,,,,,,3,,new symbol,,,,
Anthonyite,Aty,Cu(OH)2·3H2O,A,,,,,,3,,new symbol,,,,
Anthophyllite,Ath,܆Mg2Mg5Si8O22(OH)2,Rd,Ath,Ath,Ath,Ath,Ath,2,, adopted symbol,,,,
Antigorite,Atg,Mg3Si2O5(OH)4,Rd,Atg,Atg,Atg,Atg,Atg,3,, adopted symbol,,,,
Antimonselite,Atm,Sb2Se3,A,,,,,,3,,new symbol,,,,
Antimony (stibium)*,Sb,Sb,G,,,,Sb,,2,Sb = stibium, adopted symbol,,,,
Antipinite,Atp,KNa3Cu2(C2O4)4,A,,,,,,3,,new symbol,,,,
Antlerite,Atl,Cu2+3(SO4)(OH)4,A,,,,,,2,,new symbol,,,,
Antofagastaite ,Atf,Na2Ca(SO4)2·1.5H2O,A,,,,,,3,,new symbol,,,,
Anyuiite,Any,AuPb2,A,,,,,,3,,new symbol,,,,
Anzaite-(Ce),Anz-Ce,Ce4Fe2+Ti6O18(OH)2,A,,,,,,1,,new symbol,,,,
Apachite,Apa,Cu2+9Si10O29·11H2O,A,,,,,,1,,new symbol,,,,
Apatite,Ap,Ca5(PO4)3(Cl/F/OH) (4),GROUP,Ap,Ap,Ap,Ap,Ap,1,, adopted symbol,,,,
Apexite,Ape,NaMg(PO4)·9H2O,A,,,,,,1,,new symbol,,,,
Aphthitalite,Att,K3Na(SO4)2,G,,,,,,3,,new symbol,,,,
Apjohnite,Apj,Mn2+Al2(SO4)4·22H2O,G,,,,,,1,,new symbol,,,,
Aplowite,Apw,Co(SO4)·4H2O,A,,,,,,2,,new symbol,,,,
Apophyllite,Apo,"KCa4(Si8O20)(F,OH) · 8H2O(5)",GROUP,Apo,Apo,Apo,,,1,, adopted symbol,,,,
Apuanite,Apu,(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S,A,,,,,,1,,new symbol,,,,
Aqualite,Aq,"(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl",A,,,,,,1,,new symbol,,,,
Aradite,Ara,BaCa6[(SiO4)(VO4)](VO4)2F,Rd,,,,,,1,,new symbol,,,,
Aragonite,Arg,Ca(CO3),G,Arg,Arg,Arg,Arg,Arg,1,, adopted symbol,,,,
Arakiite,Ark,ZnMn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23,A,,,,,,2,,new symbol,,,,
